Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Participante 1	Timeline1	Imagen 8	1	Imagen 8	5015	81209				3048	381	8	749	2,96476	7	65,78	35,85	122,61	29,33	2,09	0,54	2,9	14,6	779	343,6	35,85	35,85	0,54
Recording1	Participante 1	Timeline1	imagenes 13	1	imagenes 13	4999	91223				1549	774	2	200	2,73009	3	132,65	65,85	228,54	85,16	5,22	2,39	9,45	15,67	158	112,81	103,55	79,89	3,83
Recording1	Participante 1	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	96415	0				78260	921	85	183	3,02811	80	75,58	30,75	243,36	42,81	2,65	0,54	9,45	211,95	2113	281,99	62,95	62,95	1,69
Recording10	Participante 10	Timeline1	image 2	1	image 2	4999	49736				3997	400	10	133	3,77962	11	155,04	46,05	269	64,09	5,62	1,74	11,51	61,82	280	150,27	124,56	110,8	3,97
Recording10	Participante 10	Timeline1	image 7	1	image 7	5015	74746				3864	276	14	233	4,14493	14	101,94	30,89	267,77	62,08	3,58	1,02	11,38	50,13	301	105,25	89,53	73,28	2,96
Recording10	Participante 10	Timeline1	imagen 4	1	imagen 4	4999	59733				3797	253	15	200	3,86319	15	217,66	38,62	807,65	221,94	6,05	1,24	18,68	90,8	208	121,88	179,29	120,83	6,17
Recording10	Participante 10	Timeline1	imagen 5	1	imagen 5	5015	64732				3714	286	13	200	4,25909	13	154,98	43,11	485,48	119,6	5,16	1,78	13,55	67,09	206	306,85	96,58	96,58	2,54
Recording10	Participante 10	Timeline1	imagen 10	1	imagen 10	4999	84761				3714	338	11	150	4,9758	12	114,24	41,65	277,02	66,47	3,67	1,31	7,37	44,1	429	28,32	86,4	85,03	2,96
Recording10	Participante 10	Timeline1	Imagen 1	1	Imagen 1	5015	44720				4080	314	13	100	4,51914	12	141,94	55,73	521,29	133,12	3,57	1,57	8,78	42,83	199	217,68	521,29	521,29	8,78
Recording10	Participante 10	Timeline1	Imagen 3	1	Imagen 3	4999	54735				3864	297	13	167	3,69505	12	185,04	37,76	645,88	153,18	5,36	1,33	13,23	64,34	61	340,43	114,16	99,57	3,5
Recording10	Participante 10	Timeline1	Imagen 6	1	Imagen 6	4999	69748				4080	272	15	433	4,29556	15	141,7	49,35	346,33	87,78	4,5	1,58	7,69	67,57	20	179,59	54,12	51,86	2,14
Recording10	Participante 10	Timeline1	Imagen 8	1	Imagen 8	4999	79762				4380	365	12	167	4,41669	12	155,51	45,57	484,3	150,39	4,37	1,57	12,53	52,41	15	350,91	62,17	57,33	1,84
Recording10	Participante 10	Timeline1	imagenes 13	1	imagenes 13	5015	89759				4264	328	13	316	4,63468	14	245,12	37,72	543,54	156,48	7,07	1,24	15,07	99,05	11	14,58	37,72	37,72	1,24
Recording10	Participante 10	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	94972	0				78643	386	204	167	4,1777	195	152,02	30,46	807,65	130,3	4,72	0,68	18,68	920,99	402	169,18	87,43	57,09	2,89
Recording2	Participante 2	Timeline1	image 2	1	image 2	5015	54875				4430	369	12	350	2,95531	11	124,55	34,42	343,21	89,89	3	0,54	6,63	32,98	67	297,93	67,86	67,86	1,06
Recording2	Participante 2	Timeline1	image 7	1	image 7	5015	79885				4280	329	13	133	2,89583	14	108,9	30,26	287,43	100,94	2,63	0,69	9,67	36,82	205	271,48	37,7	37,7	0,96
Recording2	Participante 2	Timeline1	imagen 4	1	imagen 4	4999	64889				3914	301	13	383	3,01204	13	99,41	34,22	480,46	118,22	2,64	0,78	10,33	34,32	146	84,72	58,15	58,15	1,39
Recording2	Participante 2	Timeline1	imagen 5	1	imagen 5	4999	69888				3148	242	13	300	3,16755	13	66,06	33,78	114,72	24,18	1,77	0,51	4,45	23,05	177	29,28	94,28	67,12	2,58
Recording2	Participante 2	Timeline1	imagen 10	1	imagen 10	4999	89899				3647	261	14	67	3,28448	10	71,1	43,21	109,97	24,08	1,86	1,19	2,77	18,57	150	125,95	50,71	46,3	2,77
Recording2	Participante 2	Timeline1	Imagen 1	1	Imagen 1	4999	49876				3964	330	12	233	3,2935	10	107,46	36,55	240,73	68,17	2,57	0,9	5,28	25,73	319	284,33	36,55	35,33	1,44
Recording2	Participante 2	Timeline1	Imagen 3	1	Imagen 3	4999	59890				3164	288	11	1016	2,81952	7	92,59	62,76	141,71	27,79	2,71	1,85	3,99	19	1380	228,33	141,71	80,46	3,99
Recording2	Participante 2	Timeline1	Imagen 6	1	Imagen 6	4999	74886				3497	389	9	516	2,97218	8	191,64	32,62	510,93	147,48	4,55	1,49	11,4	36,37	474	320,12	32,62	32,62	1,49
