Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording12	Participant12	Timeline1	imagen 1	1	imagen 1	5032	45433				2598	371	7	1132	3,4501	7	105,12	36,7	296,49	88,1	3,15	1,03	8,83	22,06	360	268,83	36,7	33,71	1,03
Recording12	Participant12	Timeline1	imagen 2	1	imagen 2	5015	50465				3364	336	10	333	3,15731	8	175,84	40,4	456,18	184,2	4,33	0,94	11,09	34,68	224	213,02	456,18	456,18	7,37
Recording12	Participant12	Timeline1	imagen 3	1	imagen 3	4999	55480				1416	157	9	117	3,08198	9	125,82	43,9	299,16	80,53	3,82	1,24	7,23	34,4	155	126,67	299,16	198,12	6,74
Recording12	Participant12	Timeline1	imagen 4	1	imagen 4	4999	60479				2581	323	8	67	3,21219	8	147,54	82,86	306,27	80,57	3,75	2,61	5,84	30,03	219	301,35	155,8	110,65	4,03
Recording12	Participant12	Timeline1	imagen 7	1	imagen 7	4999	65478				2049	228	9	200	3,01467	7	67,83	35,71	130,06	32,93	1,94	1,23	3,43	13,57	150	5,26	130,06	90,96	3,43
Recording12	Participant12	Timeline1	imagen 8	1	imagen 8	5015	70477				2115	302	7	300	2,95399	7	80,15	45,12	96,42	17,38	2,77	1,6	3,28	19,36	347	50,38	45,12	37,83	1,6
Recording12	Participant12	Timeline1	imagen 9	1	imagen 9	4999	75492				2382	238	10	167	3,02546	11	178,36	61,26	544,15	141,2	6,23	1,39	14,6	68,48	228	311,71	141,03	139,26	5,16
Recording12	Participant12	Timeline1	imagen 11	1	imagen 11	4999	90505				716	143	5	233	3,10901	5	130,96	70,58	254,42	81,36	3,61	1,9	6,01	18,06	238	29,23	254,42	118,03	6,01
Recording12	Participant12	Timeline1	inagen 5	1	inagen 5	4999	80491				1316	329	4	183	3,32944	1	448,01	448,01	448,01		10,69	10,69	10,69	10,69	192	31,18	448,01	199,71	10,69
Recording12	Participant12	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	95700	0				54427	412	132	67	3,03102	108	125,1	30,89	544,15	100,36	3,85	0,62	14,6	416,18	375	337,54	336,73	103,52	8,18
Recording14	Participant14	Timeline1	image 10	1	image 10	4999	88306				4230	470	9	250	3,21305	10	157,09	39,03	296,66	87,33	5,6	0,58	8,57	56,03	203	50,33	120,79	119,61	4,8
Recording14	Participant14	Timeline1	imagen 1	1	imagen 1	5016	48232				3897	390	10	250	3,55215	10	94,23	46,9	191,22	49,57	3,15	1,58	6,66	31,51	322	38,43	60,58	54,66	2,46
Recording14	Participant14	Timeline1	imagen 2	1	imagen 2	4999	53248				3697	528	7	233	2,98546	8	187,11	35,39	437,86	175,84	5,22	0,64	13,79	41,77	186	29,92	83,41	65,46	3,33
Recording14	Participant14	Timeline1	imagen 3	1	imagen 3	5015	58246				4197	382	11	100	3,23358	12	158,64	39,34	421,15	110,64	4,61	0,97	10,22	55,35	217	134,99	248,16	133,56	7,02
Recording14	Participant14	Timeline1	imagen 4	1	imagen 4	5016	63262				4397	338	13	300	3,08291	14	160,84	40,26	450,71	121,59	4,84	1	12	67,7	48	174,44	40,26	35,63	1
Recording14	Participant14	Timeline1	imagen 7	1	imagen 7	4999	68277				3697	924	4	316	3,15432	4	79,46	33,25	133,59	43,77	2,57	0,95	4,42	10,29	162	10,26	133,59	85,23	4,42
Recording14	Participant14	Timeline1	imagen 8	1	imagen 8	5015	73276				3781	756	5	633	3,27868	6	68,95	35,37	113,56	30,12	2,05	1,32	3,4	12,3	343	166,6	113,56	89,59	3,4
