Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording19	Participant19	Timeline1	imagen 2	1	imagen 2	5049	62834				3980	442	9	683	3,76302	9	210,72	37,47	557,77	198,05	5,59	0,79	10,98	50,28	246	235,78	106,19	69,95	2,75
Recording19	Participant19	Timeline1	imagen 3	1	imagen 3	4999	67883				4047	311	13	150	3,91722	12	118,28	37,38	293,71	79,21	3,21	1,03	7	38,55	160	137,2	170,98	136,4	7
Recording19	Participant19	Timeline1	imagen 4	1	imagen 4	4999	72881				4280	357	12	183	3,76227	10	169,33	45,35	446,93	125,96	4,26	1,26	7,71	42,55	24	313,73	103,72	103,72	2,25
Recording19	Participant19	Timeline1	imagen 7	1	imagen 7	5015	82879				3614	329	11	350	3,58246	12	209,1	57,87	489,26	134,5	5,42	1,58	11,4	65,06	169	100,06	88,57	76,4	2,64
Recording19	Participant19	Timeline1	imagen 8	1	imagen 8	4999	87894				3781	270	14	117	3,52971	14	193,82	30,28	694,88	179,08	5,47	0,65	13,98	76,54	150	97,71	70,52	68,55	2,32
Recording19	Participant19	Timeline1	imagen 9	1	imagen 9	4999	92893				3231	294	11	217	3,55133	11	165,1	43,94	405,99	125,72	5,41	1,61	12,87	59,53	181	216,24	329,6	140,03	7,39
Recording19	Participant19	Timeline1	imagen 11	1	imagen 11	4999	102907				3364	240	14	133	3,71712	11	205,4	52,05	405,19	114,88	6,1	1,29	11,33	67,13	143	257,22	160,72	146,1	5,45
Recording19	Participant19	Timeline1	inagen 5	1	inagen 5	4999	77880				3980	265	15	83	3,96162	14	124,14	36,1	379,37	111,86	3,79	0,5	15,57	53	172	238,28	146,86	114,13	4,16
Recording19	Participant19	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	108094	0				85754	378	227	483	3,82737	183	148,97	30,09	721,86	132,29	4,28	0,5	15,57	782,38	1108	309,06	52,26	52,26	1,65
Recording11	Participant11	Timeline1	image 10	1	image 10	4999	87648				4230	264	16	117	3,31614	16	183,76	31,79	569,8	167,44	4,83	1,24	10,05	77,25	63	10,43	35,9	35,9	1,24
Recording11	Participant11	Timeline1	imagen 1	1	imagen 1	5000	47591				1382	276	5	233	3,53672	6	149,82	79,28	248,49	73,88	3,8	2,93	4,59	22,78	1715	77,37	79,28	67,11	2,93
Recording11	Participant11	Timeline1	imagen 2	1	imagen 2	5015	52590				3631	363	10	433	3,02022	10	264,25	41,88	551,6	186,51	6,12	1,37	12,68	61,2	163	239,39	41,88	36,36	2,27
Recording11	Participant11	Timeline1	imagen 3	1	imagen 3	5015	57606				4180	209	20	117	3,27678	20	191,84	32,63	527,68	160,75	4,58	0,78	14,21	91,62	161	148,64	218,77	114,43	5,91
Recording11	Participant11	Timeline1	imagen 4	1	imagen 4	5015	62621				4180	418	10	133	3,42374	9	189,64	36,84	398,58	135,88	4,82	0,93	10,37	43,36	158	129,94	398,58	154,05	10,37
Recording11	Participant11	Timeline1	imagen 7	1	imagen 7	4999	72635				4047	253	16	383	2,86624	15	169,02	30,35	631,35	198,96	4,78	0,87	19,52	71,66	254	2,92	39,47	39,47	0,87
Recording11	Participant11	Timeline1	imagen 8	1	imagen 8	4999	77634				2115	302	7	217	3,07812	8	137,88	38,91	328,76	101,77	3,72	0,76	7,5	29,78	368	80,39	41,48	35,9	1,46
Recording11	Participant11	Timeline1	imagen 9	1	imagen 9	5015	82633				3864	258	15	167	3,2151	12	168,71	37,88	415,45	142,44	4,3	1,09	13,87	51,66	249	225,65	181,87	125,29	7
Recording11	Participant11	Timeline1	imagen 11	1	imagen 11	4999	92647				4080	371	11	150	3,0266	8	247,3	47,34	559,97	196,45	5,48	0,88	9,96	43,83	211	319,96	559,97	559,97	9,94
Recording11	Participant11	Timeline1	inagen 5	1	inagen 5	4999	67637				3947	329	12	749	3,4018	10	152,84	31,99	519,37	164,01	3,78	0,77	9,36	37,76	206	73,31	107,94	75,47	3,04
Recording11	Participant11	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	97826	0				71981	346	208	217	3,25379	163	157,71	30,35	631,35	146,59	4,21	0,76	19,52	686,54	375	221,22	45,49	45,49	1,06
Recording20	Participant20	Timeline1	image 10	1	image 10	5015	85565				3980	284	14	150	3,27495	15	145,51	43,51	595,42	148,45	4,4	1,38	13,02	65,98	262	213,11	195,53	123,5	4,33
Recording20	Participant20	Timeline1	imagen 1	1	imagen 1	5015	45525				4314	539	8	633	3,96738	7	151,67	74,91	392,91	113,53	4,29	2,51	7,54	30,03	997	136,14	74,91	55,91	2,51
Recording20	Participant20	Timeline1	imagen 2	1	imagen 2	5015	50540				4413	339	13	150	3,35931	13	169,7	31,08	355,88	104,96	5,43	1,15	11,82	70,6	162	95,75	216,78	145,18	7,3
Recording20	Participant20	Timeline1	imagen 3	1	imagen 3	5015	55555				4164	379	11	167	3,49966	12	142,02	31,54	274,31	88,37	4,86	0,95	9,57	58,32	326	59,62	31,54	31,54	0,95
